id;Agregado;ID;Descrição
D5;Áreas Urbanizadas;8418;Áreas urbanizadas, Loteamento vazio, Área total mapeada e Subcategorias
CL;Cadastro Central de Empresas;1685;Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal – série encerrada em 2021
CL;Cadastro Central de Empresas;1732;Dados gerais das empresas por faixas de pessoal ocupado total, segundo seção, divisão e grupo da classificação de atividades, em nível Brasil, Grandes Regiões e Unidades da Federação da sede da empresa
CL;Cadastro Central de Empresas;1733;Dados gerais das unidades locais por faixas de pessoal ocupado total, segundo seção, divisão e grupo da classificação de atividades, em nível Brasil, Grandes Regiões e Unidades da Federação
CL;Cadastro Central de Empresas;1734;Dados gerais das unidades locais por faixas de pessoal ocupado total, segundo seção e divisão da classificação de atividades, em nível Brasil, Grandes Regiões, Unidades da Federação e Municipíos das Capitais
CL;Cadastro Central de Empresas;1735;Dados gerais das unidades locais por faixas de pessoal ocupado total, segundo seção da classificação de atividades, em nível Brasil, Grandes Regiões, Unidades da Federação e Municipíos
CL;Cadastro Central de Empresas;2869;Empresas e outras organizações e suas unidades locais, pessoal ocupado total e assalariado, salários e outras remunerações e salário médio mensal, por seção, divisão e grupo da classificação de atividades, faixas de pessoal ocupado total e natureza jurídica, em nível Brasil, Grandes Regiões e Unidades da Federação da sede da empresa
CL;Cadastro Central de Empresas;2933;Empresas e outras organizações, por ano de fundação, seção da classificação de atividades e faixas de pessoal ocupado total
CL;Cadastro Central de Empresas;2934;Empresas, pessoal ocupado total e indicadores de concentração econômica em relação à variável pessoal ocupado total das maiores empresas, por seção, divisão e grupo da classificação de atividades
CL;Cadastro Central de Empresas;2937;Empresas, pessoal ocupado total e indicadores de diversificação espacial e de atividades no total de empresas e nas empresas com mais de uma unidade local, por seção, divisão e grupo da classificação de atividades e tipo de empresa
CL;Cadastro Central de Empresas;3421;Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal, por seção e divisão da classificação de atividades (CNAE 2.0), para os municípios com 50.000 habitantes ou mais – série encerrada em 2021
CL;Cadastro Central de Empresas;6449;Empresas e outras organizações, pessoal ocupado total, pessoal ocupado assalariado, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0) – série encerrada em 2021
CL;Cadastro Central de Empresas;6450;Unidades locais, pessoal ocupado total e assalariado, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0) – série encerrada em 2021
CL;Cadastro Central de Empresas;6703;Unidades locais, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal, por seção, divisão e grupo da classificação de atividades (CNAE 2.0), faixas de pessoal ocupado total e natureza jurídica – série encerrada em 2021
